name,image,ratings,no_of_ratings,discount_price,actual_price,weight_volume,discount_price_USD,actual_price_USD
Octavius Classic Assam Black Tea - 100 Teabag pack of 1,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71rwWDZo-yL._AC_UL320_.jpg,4.1,363,161.0,190.0,,1.8505747126436782,2.1839080459770117
Nutri Desire Immunity Booster High Rich Protein Chia Seeds (Pack of 2) (150 gram * 2),https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/817enVMmWAL._AC_UL320_.jpg,4.1,33,240.0,399.0,,2.7586206896551726,4.586206896551724
Mr. Hung Kruanthip Tempura Flour (1 kg),https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71yVfCqz3EL._AC_UL320_.jpg,4.3,139,295.0,499.0,,3.3908045977011496,5.735632183908046
"Pramix Dry Amla Candy, Sweet Avla (Indian Gooseberry) 900 gm",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61mYo0XlVDL._AC_UL320_.jpg,3.8,460,399.0,699.0,,4.586206896551724,8.03448275862069
"Thanjai Natural Mango Seed Powder (100g) 100% Natural, Made in dried mango seeds Oldest Traditional Method, No Preservatives",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/717dMKFI2+L._AC_UL320_.jpg,5,1,149.0,250.0,g,1.7126436781609196,2.8735632183908044
"Colombian Brew 3 in 1 Cappuccino Café Latte, Instant Coffee Powder Premix, 10 Sachets Box pack of 2",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81bRtEv7+zL._AC_UL320_.jpg,4,353,378.0,498.0,,4.344827586206897,5.724137931034483
"Third Wave Coffee French Roast 100% Arabica Coffee, 250 gram (Cold Brew/French Press)",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81ezwpSmetL._AC_UL320_.jpg,4.2,48,355.0,450.0,,4.080459770114943,5.172413793103448
"Organic Tattva, Organic Roasted Chana Dal, 500g | 100% Vegan, Gluten Free and NO Additives",https://m.media-amazon.com/images/I/712LdSFes4L._AC_UL320_.jpg,4.1,89,131.0,145.0,g,1.5057471264367817,1.6666666666666667
"Tropicana Mixed Fruit Juice, 1 Litre",https://m.media-amazon.com/images/I/714kIox4UzL._AC_UL320_.jpg,4.4,102,135.0,144.0,,1.5517241379310345,1.6551724137931034
"Diabexy Cookies Combo (Almond, Coconut & Chocolate) Sugar Control for Diabetes 200 gm Each (Pack of 3)",https://m.media-amazon.com/images/I/716eVFDrCtL._AC_UL320_.jpg,4.2,170,1199.0,1485.0,,13.781609195402298,17.06896551724138
"Pravin Pickles Thecha Combo of 9 Pack - Red Chilli Thecha 100g x 3, Kolhapuri Thecha 100g x 3, Green Chilli Thecha 100g x 3",https://m.media-amazon.com/images/I/81uv+Wjw54L._AC_UL320_.jpg,4.3,154,269.0,270.0,g,3.0919540229885056,3.103448275862069
